No,Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
108,1961,1,3,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,4,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,5,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,6,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,7,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,8,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,9,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,10,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,11,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,12,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,13,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,14,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,15,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,16,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,18,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,19,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,20,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,21,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,22,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,23,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,24,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,25,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,26,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,27,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,28,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,29,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,30,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,1,31,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,1,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,2,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,3,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,4,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,5,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,6,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,7,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,8,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,9,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,10,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,11,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,12,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,13,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,14,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,15,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,16,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,18,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,19,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,20,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,21,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,22,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,23,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,24,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,25,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,26,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,27,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,2,28,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,1,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,2,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,3,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,4,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,5,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,6,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,7,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,8,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,9,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,10,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,11,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,12,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,13,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,14,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,15,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,16,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,18,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,19,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,20,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,21,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,22,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,23,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,24,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,25,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,26,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,27,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,28,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,29,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,30,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,3,31,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,1,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,2,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,3,3,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,4,2,55,31,45,166,74,67,57,36,44,34,37,40,50,25,3,1,,,,,,,
108,1961,4,5,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,6,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,7,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,8,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,9,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,10,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,11,7,9,8,11,12,15,26,40,49,43,12,1,,,,,,,,,,,,
108,1961,4,12,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,13,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,14,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,15,6,3,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,16,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,18,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,19,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,20,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,21,3,4,2,,,,,,,,,,,,,,,,,,,,,
108,1961,4,22,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,23,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,24,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,25,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,26,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,27,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,28,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,29,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,4,30,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,1,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,2,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,3,2,6,5,,,,,,,,,,,,,,,,,,,,,
108,1961,5,4,3,3,4,10,20,30,10,7,53,36,44,50,33,27,16,10,16,15,6,7,1,,,
108,1961,5,5,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,6,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,7,2,4,6,,,,,,,,,,,,,,,,,,,,,
108,1961,5,8,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,9,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,10,4,26,16,10,20,1,1,1,1,,,,,,,,,,,,,,,
108,1961,5,11,2,6,2,1,9,4,1,1,36,5,1,,,,,,,,,,,,,
108,1961,5,12,1,2,1,,,,,,,,,,,,,,,,,,,,,
108,1961,5,13,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,14,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,15,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,16,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,17,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,18,1,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,19,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,20,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,21,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,22,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,23,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,24,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,25,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,26,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,27,,,,,,,,,,,,,,,,,,,,,,,,
108,1961,5,28,5,17,12,4,113,49,100,83,85,52,70,26,22,16,2,,,,,,,,,
108,1961,5,29,,,,,,,,,,,,,,,,,,,,,,,,
